Plataforma,Ventas_europeas,Calificacion_critica
PC,20000.0,65.0
PC,80000.0,87.0
PC,80000.0,92.0
PC,60000.0,72.0
PC,90000.0,81.0
PC,70000.0,77.0
PC,80000.0,76.0
PC,80000.0,65.0
PC,20000.0,75.0
PC,70000.0,75.0
PC,60000.0,89.0
PC,70000.0,88.0
PC,50000.0,72.0
PC,60000.0,79.0
PC,50000.0,82.0
PC,70000.0,80.0
PC,40000.0,69.0
PC,70000.0,91.0
PC,40000.0,85.0
PC,10000.0,74.0
PC,50000.0,52.0
PC,60000.0,80.0
PC,10000.0,57.0
PC,70000.0,58.0
PC,20000.0,74.0
PC,60000.0,80.0
PC,80000.0,33.0
PC,70000.0,90.0
PC,70000.0,91.0
PC,50000.0,72.0
PC,70000.0,65.0
PC,60000.0,82.0
PC,60000.0,86.0
PC,60000.0,82.0
PC,60000.0,83.0
PC,50000.0,79.0
PC,60000.0,82.0
PC,50000.0,72.0
PC,40000.0,61.0
PC,40000.0,77.0
PC,70000.0,89.0
PC,70000.0,61.0
PC,40000.0,67.0
PC,60000.0,87.0
PC,50000.0,83.0
PC,40000.0,78.0
PC,60000.0,73.0
PC,60000.0,88.0
PC,60000.0,80.0
PC,40000.0,86.0
PC,50000.0,61.0
PC,60000.0,83.0
PC,50000.0,81.0
PC,60000.0,80.0
PC,50000.0,74.0
PC,60000.0,82.0
PC,40000.0,70.0
PC,40000.0,68.0
PC,30000.0,80.0
PC,40000.0,81.0
PC,50000.0,75.0
PC,50000.0,83.0
PC,50000.0,86.0
PC,20000.0,66.0
PC,50000.0,81.0
PC,50000.0,80.0
PC,10000.0,54.0
PC,50000.0,71.0
PC,50000.0,79.0
PC,50000.0,83.0
PC,50000.0,72.0
PC,50000.0,74.0
PC,40000.0,82.0
PC,40000.0,81.0
PC,40000.0,65.0
PC,50000.0,65.0
PC,50000.0,76.0
PC,40000.0,86.0
PC,50000.0,81.0
PC,40000.0,77.0
PC,50000.0,63.0
PC,50000.0,84.0
PC,50000.0,83.0
