Plataforma,Ventas_norteamerica,Calificacion_critica
X360,90000.0,38.0
X360,50000.0,60.0
X360,130000.0,53.0
X360,100000.0,73.0
X360,100000.0,50.0
X360,120000.0,48.0
X360,130000.0,78.0
X360,110000.0,72.0
X360,110000.0,58.0
X360,100000.0,62.0
X360,100000.0,60.0
X360,100000.0,35.0
X360,110000.0,80.0
X360,100000.0,26.0
X360,110000.0,72.0
X360,110000.0,71.0
X360,120000.0,61.0
X360,80000.0,56.0
X360,120000.0,42.0
X360,70000.0,62.0
X360,90000.0,42.0
X360,80000.0,83.0
X360,120000.0,48.0
X360,60000.0,68.0
X360,80000.0,38.0
X360,70000.0,59.0
X360,110000.0,39.0
X360,110000.0,61.0
X360,120000.0,60.0
X360,100000.0,37.0
X360,100000.0,53.0
X360,120000.0,62.0
X360,90000.0,68.0
X360,90000.0,37.0
X360,80000.0,64.0
X360,70000.0,33.0
X360,100000.0,59.0
X360,100000.0,44.0
X360,110000.0,70.0
X360,110000.0,83.0
X360,110000.0,36.0
X360,100000.0,63.0
X360,90000.0,64.0
X360,70000.0,58.0
X360,80000.0,21.0
X360,100000.0,45.0
X360,100000.0,55.0
X360,110000.0,67.0
X360,90000.0,40.0
X360,90000.0,55.0
X360,90000.0,63.0
X360,100000.0,51.0
X360,100000.0,59.0
X360,100000.0,57.0
X360,50000.0,71.0
X360,70000.0,28.0
X360,100000.0,70.0
X360,90000.0,59.0
X360,70000.0,50.0
X360,70000.0,53.0
X360,90000.0,48.0
X360,80000.0,55.0
X360,100000.0,38.0
X360,100000.0,44.0
X360,70000.0,53.0
X360,100000.0,51.0
X360,100000.0,62.0
X360,80000.0,52.0
X360,90000.0,28.0
X360,70000.0,80.0
X360,50000.0,60.0
X360,100000.0,47.0
X360,90000.0,79.0
X360,60000.0,52.0
X360,70000.0,52.0
X360,90000.0,66.0
X360,90000.0,72.0
X360,80000.0,68.0
X360,90000.0,61.0
X360,90000.0,49.0
X360,80000.0,64.0
X360,70000.0,55.0
X360,90000.0,55.0
X360,90000.0,75.0
X360,60000.0,52.0
X360,90000.0,56.0
X360,90000.0,44.0
X360,50000.0,60.0
X360,70000.0,43.0
X360,50000.0,46.0
X360,80000.0,63.0
X360,80000.0,38.0
X360,40000.0,64.0
X360,80000.0,65.0
X360,20000.0,70.0
X360,60000.0,45.0
X360,60000.0,37.0
X360,80000.0,46.0
X360,80000.0,36.0
X360,70000.0,56.0
X360,30000.0,75.0
