Plataforma,Ventas_japonesas,Calificacion_critica
PS2,410000.0,95.0
PS2,470000.0,95.0
PS2,1870000.0,95.0
PS2,300000.0,97.0
PS2,1100000.0,89.0
PS2,2730000.0,92.0
PS2,80000.0,85.0
PS2,80000.0,82.0
PS2,170000.0,88.0
PS2,1490000.0,85.0
PS2,870000.0,96.0
PS2,2330000.0,92.0
PS2,240000.0,66.0
PS2,2110000.0,85.0
PS2,10000.0,94.0
PS2,3610000.0,89.0
PS2,130000.0,68.0
PS2,10000.0,82.0
PS2,10000.0,88.0
PS2,80000.0,82.0
PS2,10000.0,91.0
PS2,10000.0,84.0
PS2,30000.0,76.0
PS2,20000.0,94.0
PS2,10000.0,97.0
PS2,1050000.0,86.0
PS2,80000.0,82.0
PS2,1380000.0,87.0
PS2,830000.0,91.0
PS2,40000.0,80.0
PS2,200000.0,80.0
PS2,10000.0,95.0
PS2,40000.0,93.0
PS2,510000.0,85.0
PS2,10000.0,90.0
PS2,310000.0,88.0
PS2,1120000.0,91.0
PS2,40000.0,81.0
PS2,10000.0,94.0
PS2,60000.0,82.0
PS2,150000.0,90.0
PS2,640000.0,82.0
PS2,460000.0,96.0
PS2,30000.0,82.0
PS2,30000.0,84.0
PS2,70000.0,78.0
PS2,50000.0,72.0
PS2,100000.0,72.0
PS2,40000.0,84.0
PS2,330000.0,79.0
PS2,20000.0,80.0
PS2,50000.0,88.0
PS2,120000.0,77.0
PS2,30000.0,60.0
PS2,50000.0,80.0
PS2,50000.0,85.0
PS2,20000.0,77.0
PS2,90000.0,62.0
PS2,380000.0,89.0
PS2,550000.0,67.0
PS2,10000.0,94.0
PS2,760000.0,73.0
PS2,1160000.0,93.0
PS2,640000.0,94.0
PS2,60000.0,64.0
PS2,40000.0,85.0
PS2,60000.0,87.0
PS2,1130000.0,93.0
PS2,1380000.0,85.0
PS2,10000.0,76.0
PS2,1090000.0,86.0
PS2,10000.0,84.0
PS2,10000.0,77.0
PS2,20000.0,78.0
PS2,40000.0,71.0
PS2,30000.0,80.0
PS2,60000.0,80.0
PS2,510000.0,66.0
PS2,40000.0,62.0
PS2,30000.0,91.0
PS2,40000.0,62.0
PS2,10000.0,83.0
PS2,10000.0,71.0
PS2,340000.0,84.0
PS2,90000.0,84.0
PS2,10000.0,82.0
PS2,1060000.0,84.0
PS2,20000.0,89.0
PS2,1130000.0,78.0
PS2,290000.0,84.0
PS2,130000.0,92.0
PS2,510000.0,68.0
PS2,650000.0,77.0
PS2,1070000.0,78.0
PS2,30000.0,71.0
PS2,560000.0,94.0
PS2,20000.0,57.0
PS2,20000.0,84.0
PS2,10000.0,55.0
PS2,450000.0,83.0
PS2,550000.0,80.0
PS2,320000.0,84.0
PS2,40000.0,82.0
PS2,60000.0,93.0
PS2,30000.0,83.0
PS2,540000.0,72.0
PS2,80000.0,80.0
PS2,150000.0,76.0
PS2,50000.0,91.0
PS2,520000.0,57.0
PS2,540000.0,85.0
PS2,460000.0,71.0
PS2,20000.0,86.0
PS2,910000.0,69.0
PS2,1060000.0,73.0
PS2,10000.0,73.0
PS2,50000.0,74.0
PS2,20000.0,63.0
PS2,260000.0,75.0
PS2,10000.0,68.0
PS2,30000.0,79.0
PS2,220000.0,81.0
PS2,750000.0,78.0
PS2,10000.0,89.0
PS2,250000.0,79.0
PS2,200000.0,91.0
PS2,880000.0,73.0
PS2,40000.0,74.0
PS2,840000.0,77.0
PS2,10000.0,75.0
PS2,130000.0,86.0
PS2,740000.0,72.0
