Plataforma,Ventas_norteamerica,Calificacion_critica
XB,180000.0,59.0
XB,180000.0,77.0
XB,180000.0,85.0
XB,180000.0,79.0
XB,180000.0,68.0
XB,170000.0,85.0
XB,170000.0,84.0
XB,170000.0,66.0
XB,170000.0,82.0
XB,170000.0,61.0
XB,170000.0,60.0
XB,160000.0,77.0
XB,160000.0,19.0
XB,160000.0,58.0
XB,160000.0,76.0
XB,160000.0,83.0
XB,160000.0,70.0
XB,160000.0,74.0
XB,160000.0,75.0
XB,160000.0,65.0
XB,170000.0,64.0
XB,160000.0,65.0
XB,130000.0,88.0
XB,150000.0,80.0
XB,150000.0,74.0
XB,150000.0,58.0
XB,150000.0,78.0
XB,150000.0,76.0
XB,140000.0,69.0
XB,150000.0,87.0
XB,150000.0,79.0
XB,150000.0,90.0
XB,150000.0,70.0
XB,150000.0,82.0
XB,150000.0,72.0
XB,150000.0,40.0
XB,150000.0,75.0
XB,150000.0,71.0
XB,150000.0,67.0
XB,150000.0,76.0
XB,150000.0,62.0
XB,150000.0,78.0
XB,150000.0,83.0
XB,150000.0,59.0
XB,140000.0,74.0
XB,140000.0,74.0
XB,140000.0,79.0
XB,140000.0,72.0
XB,140000.0,67.0
XB,120000.0,82.0
XB,140000.0,76.0
XB,140000.0,69.0
XB,130000.0,81.0
XB,140000.0,69.0
XB,140000.0,73.0
XB,140000.0,68.0
XB,140000.0,51.0
XB,140000.0,61.0
XB,140000.0,61.0
XB,150000.0,64.0
XB,140000.0,35.0
XB,130000.0,65.0
XB,130000.0,49.0
XB,130000.0,63.0
XB,140000.0,76.0
XB,130000.0,68.0
XB,130000.0,85.0
XB,130000.0,62.0
XB,130000.0,87.0
XB,130000.0,71.0
XB,130000.0,82.0
XB,130000.0,84.0
XB,130000.0,69.0
XB,130000.0,72.0
XB,130000.0,82.0
XB,130000.0,57.0
XB,130000.0,73.0
XB,130000.0,67.0
XB,130000.0,50.0
XB,130000.0,54.0
XB,120000.0,41.0
XB,120000.0,62.0
XB,120000.0,71.0
XB,120000.0,83.0
XB,120000.0,75.0
XB,120000.0,59.0
XB,120000.0,77.0
XB,110000.0,44.0
XB,110000.0,78.0
XB,110000.0,53.0
XB,110000.0,89.0
XB,110000.0,75.0
XB,110000.0,79.0
XB,110000.0,61.0
XB,110000.0,74.0
XB,110000.0,62.0
XB,110000.0,71.0
XB,110000.0,51.0
XB,110000.0,81.0
XB,110000.0,65.0
XB,110000.0,75.0
XB,110000.0,66.0
XB,110000.0,65.0
XB,110000.0,81.0
XB,110000.0,65.0
XB,110000.0,86.0
XB,110000.0,66.0
XB,110000.0,59.0
XB,110000.0,35.0
XB,110000.0,81.0
XB,110000.0,84.0
XB,110000.0,81.0
XB,110000.0,72.0
XB,110000.0,64.0
XB,100000.0,63.0
XB,110000.0,66.0
XB,80000.0,51.0
XB,100000.0,68.0
XB,100000.0,68.0
XB,100000.0,74.0
XB,100000.0,79.0
XB,100000.0,65.0
XB,100000.0,57.0
XB,100000.0,53.0
XB,100000.0,73.0
XB,100000.0,63.0
XB,100000.0,76.0
XB,100000.0,79.0
XB,100000.0,44.0
XB,100000.0,82.0
XB,100000.0,67.0
XB,100000.0,74.0
XB,100000.0,80.0
XB,100000.0,56.0
XB,100000.0,33.0
XB,100000.0,76.0
XB,100000.0,62.0
XB,100000.0,61.0
XB,80000.0,80.0
XB,100000.0,48.0
XB,100000.0,74.0
XB,100000.0,73.0
XB,100000.0,68.0
XB,90000.0,75.0
XB,90000.0,70.0
XB,90000.0,69.0
XB,90000.0,70.0
XB,90000.0,62.0
XB,90000.0,79.0
