Plataforma,Ventas_norteamerica,Calificacion_critica
GC,130000.0,80.0
GC,130000.0,36.0
GC,130000.0,65.0
GC,100000.0,72.0
GC,130000.0,72.0
GC,10000.0,71.0
GC,130000.0,74.0
GC,130000.0,74.0
GC,130000.0,59.0
GC,120000.0,66.0
GC,120000.0,67.0
GC,120000.0,47.0
GC,120000.0,56.0
GC,120000.0,89.0
GC,120000.0,84.0
GC,120000.0,89.0
GC,120000.0,75.0
GC,120000.0,78.0
GC,120000.0,89.0
GC,120000.0,83.0
GC,120000.0,56.0
GC,120000.0,61.0
GC,120000.0,74.0
GC,120000.0,51.0
GC,120000.0,59.0
GC,120000.0,83.0
GC,120000.0,50.0
GC,110000.0,66.0
GC,110000.0,84.0
GC,110000.0,84.0
GC,110000.0,66.0
GC,110000.0,59.0
GC,110000.0,80.0
GC,110000.0,60.0
GC,110000.0,78.0
GC,110000.0,77.0
GC,110000.0,79.0
GC,110000.0,79.0
GC,110000.0,60.0
GC,110000.0,72.0
GC,110000.0,60.0
GC,110000.0,56.0
GC,100000.0,88.0
GC,100000.0,79.0
GC,100000.0,60.0
GC,100000.0,76.0
GC,100000.0,83.0
GC,100000.0,70.0
GC,100000.0,50.0
GC,100000.0,63.0
GC,100000.0,83.0
GC,100000.0,75.0
GC,100000.0,67.0
GC,90000.0,51.0
GC,90000.0,62.0
GC,90000.0,56.0
GC,90000.0,76.0
GC,90000.0,90.0
GC,90000.0,36.0
GC,90000.0,59.0
GC,90000.0,57.0
GC,90000.0,66.0
GC,90000.0,54.0
GC,90000.0,63.0
GC,90000.0,52.0
GC,90000.0,73.0
GC,90000.0,66.0
GC,90000.0,68.0
GC,90000.0,55.0
GC,90000.0,77.0
GC,70000.0,62.0
GC,80000.0,51.0
GC,80000.0,49.0
GC,80000.0,66.0
GC,80000.0,40.0
GC,80000.0,82.0
GC,80000.0,54.0
GC,80000.0,83.0
GC,80000.0,81.0
GC,80000.0,70.0
GC,60000.0,75.0
GC,80000.0,85.0
GC,80000.0,53.0
GC,80000.0,76.0
GC,80000.0,39.0
GC,70000.0,66.0
GC,70000.0,74.0
GC,70000.0,78.0
GC,70000.0,78.0
GC,70000.0,77.0
GC,70000.0,85.0
GC,30000.0,67.0
GC,70000.0,77.0
GC,70000.0,85.0
GC,70000.0,55.0
GC,70000.0,68.0
GC,70000.0,42.0
GC,70000.0,73.0
GC,60000.0,70.0
GC,60000.0,64.0
GC,60000.0,57.0
GC,60000.0,78.0
GC,60000.0,78.0
GC,60000.0,72.0
GC,60000.0,86.0
GC,60000.0,69.0
GC,60000.0,79.0
GC,60000.0,63.0
GC,60000.0,62.0
GC,60000.0,82.0
GC,60000.0,66.0
GC,60000.0,29.0
GC,60000.0,78.0
GC,60000.0,61.0
GC,60000.0,63.0
GC,60000.0,71.0
GC,60000.0,67.0
GC,60000.0,55.0
GC,60000.0,82.0
GC,60000.0,62.0
GC,60000.0,80.0
GC,60000.0,75.0
GC,60000.0,73.0
GC,60000.0,67.0
GC,60000.0,62.0
GC,60000.0,55.0
GC,60000.0,82.0
GC,60000.0,47.0
GC,60000.0,44.0
GC,60000.0,54.0
GC,50000.0,70.0
GC,50000.0,80.0
GC,50000.0,83.0
GC,50000.0,77.0
GC,50000.0,47.0
GC,50000.0,73.0
GC,50000.0,75.0
GC,50000.0,65.0
GC,50000.0,84.0
GC,50000.0,61.0
GC,50000.0,69.0
GC,50000.0,60.0
GC,50000.0,67.0
GC,50000.0,47.0
GC,50000.0,71.0
GC,50000.0,63.0
GC,50000.0,36.0
GC,50000.0,65.0
GC,50000.0,62.0
GC,50000.0,80.0
GC,40000.0,59.0
GC,40000.0,64.0
GC,40000.0,68.0
GC,40000.0,88.0
GC,40000.0,62.0
GC,40000.0,58.0
GC,40000.0,68.0
GC,40000.0,59.0
GC,40000.0,53.0
GC,40000.0,71.0
GC,40000.0,51.0
GC,10000.0,58.0
GC,40000.0,46.0
GC,40000.0,70.0
GC,40000.0,39.0
GC,40000.0,40.0
GC,40000.0,49.0
GC,40000.0,77.0
GC,40000.0,62.0
GC,40000.0,68.0
GC,40000.0,58.0
GC,40000.0,65.0
GC,40000.0,61.0
GC,40000.0,44.0
GC,40000.0,54.0
GC,40000.0,78.0
GC,40000.0,60.0
GC,40000.0,72.0
GC,40000.0,54.0
GC,40000.0,72.0
GC,40000.0,54.0
GC,40000.0,56.0
GC,30000.0,35.0
GC,30000.0,61.0
GC,30000.0,68.0
GC,30000.0,60.0
GC,30000.0,76.0
GC,30000.0,71.0
GC,30000.0,70.0
GC,30000.0,81.0
GC,30000.0,44.0
GC,30000.0,69.0
GC,30000.0,79.0
GC,30000.0,56.0
GC,30000.0,36.0
GC,30000.0,75.0
GC,20000.0,64.0
GC,20000.0,72.0
GC,20000.0,63.0
GC,20000.0,54.0
GC,20000.0,65.0
GC,20000.0,62.0
GC,10000.0,56.0
GC,20000.0,75.0
GC,20000.0,67.0
GC,20000.0,62.0
GC,20000.0,63.0
GC,20000.0,71.0
GC,20000.0,71.0
GC,20000.0,69.0
GC,20000.0,57.0
GC,20000.0,68.0
GC,20000.0,69.0
GC,20000.0,68.0
GC,10000.0,59.0
GC,10000.0,23.0
GC,10000.0,89.0
GC,10000.0,59.0
GC,10000.0,71.0
GC,10000.0,64.0
GC,10000.0,59.0
GC,10000.0,57.0
GC,10000.0,50.0
GC,10000.0,64.0
GC,10000.0,72.0
GC,10000.0,27.0
GC,10000.0,69.0
GC,10000.0,63.0
GC,10000.0,49.0
GC,10000.0,61.0
GC,10000.0,55.0
GC,10000.0,64.0
GC,10000.0,40.0
GC,10000.0,53.0
