Plataforma,Ventas_europeas,Calificacion_critica
XB,20000.0,57.0
XB,20000.0,78.0
XB,20000.0,70.0
XB,20000.0,79.0
XB,20000.0,75.0
XB,20000.0,70.0
XB,20000.0,50.0
XB,20000.0,75.0
XB,20000.0,67.0
XB,20000.0,56.0
XB,20000.0,75.0
XB,20000.0,44.0
XB,20000.0,67.0
XB,20000.0,47.0
XB,20000.0,75.0
XB,20000.0,62.0
XB,20000.0,59.0
XB,20000.0,71.0
XB,20000.0,47.0
XB,10000.0,22.0
XB,10000.0,73.0
XB,10000.0,69.0
XB,10000.0,69.0
XB,10000.0,56.0
XB,10000.0,50.0
XB,10000.0,80.0
XB,10000.0,67.0
XB,10000.0,81.0
XB,10000.0,62.0
XB,10000.0,51.0
XB,10000.0,32.0
XB,10000.0,63.0
XB,10000.0,74.0
XB,10000.0,49.0
XB,10000.0,85.0
XB,10000.0,83.0
XB,10000.0,32.0
XB,10000.0,38.0
XB,10000.0,55.0
XB,10000.0,71.0
XB,10000.0,77.0
XB,10000.0,55.0
XB,10000.0,66.0
XB,10000.0,72.0
XB,10000.0,36.0
XB,10000.0,44.0
XB,10000.0,69.0
XB,10000.0,69.0
XB,10000.0,55.0
XB,10000.0,77.0
XB,10000.0,45.0
XB,10000.0,60.0
XB,10000.0,70.0
XB,10000.0,54.0
XB,10000.0,69.0
XB,10000.0,68.0
XB,10000.0,48.0
XB,10000.0,60.0
XB,10000.0,65.0
XB,10000.0,80.0
XB,10000.0,64.0
XB,10000.0,55.0
XB,10000.0,66.0
XB,10000.0,59.0
XB,10000.0,74.0
XB,10000.0,71.0
XB,10000.0,80.0
XB,10000.0,61.0
XB,10000.0,75.0
XB,10000.0,79.0
XB,10000.0,66.0
XB,10000.0,71.0
XB,10000.0,74.0
XB,10000.0,69.0
XB,10000.0,74.0
XB,10000.0,64.0
XB,10000.0,71.0
XB,10000.0,62.0
XB,10000.0,30.0
XB,10000.0,75.0
XB,10000.0,74.0
XB,10000.0,84.0
XB,10000.0,83.0
XB,10000.0,46.0
XB,10000.0,59.0
XB,10000.0,71.0
XB,10000.0,46.0
XB,10000.0,69.0
XB,10000.0,37.0
XB,10000.0,69.0
XB,10000.0,60.0
XB,10000.0,70.0
XB,10000.0,58.0
XB,10000.0,31.0
XB,10000.0,64.0
XB,10000.0,73.0
XB,10000.0,74.0
XB,10000.0,54.0
XB,10000.0,53.0
XB,10000.0,66.0
XB,10000.0,72.0
XB,10000.0,69.0
XB,10000.0,61.0
XB,10000.0,67.0
XB,10000.0,41.0
XB,10000.0,61.0
XB,10000.0,66.0
XB,10000.0,69.0
XB,10000.0,52.0
XB,10000.0,68.0
XB,10000.0,73.0
XB,10000.0,86.0
XB,10000.0,80.0
XB,10000.0,42.0
XB,10000.0,56.0
XB,10000.0,67.0
XB,10000.0,55.0
XB,10000.0,66.0
XB,10000.0,68.0
XB,10000.0,51.0
XB,10000.0,67.0
XB,10000.0,84.0
XB,10000.0,60.0
XB,10000.0,55.0
XB,10000.0,62.0
XB,10000.0,61.0
XB,10000.0,54.0
XB,10000.0,67.0
XB,10000.0,64.0
XB,10000.0,56.0
XB,10000.0,57.0
XB,10000.0,57.0
XB,10000.0,62.0
XB,10000.0,74.0
XB,10000.0,44.0
XB,10000.0,61.0
XB,10000.0,58.0
XB,10000.0,71.0
XB,10000.0,61.0
XB,10000.0,76.0
XB,10000.0,71.0
XB,10000.0,49.0
XB,10000.0,83.0
XB,10000.0,47.0
XB,10000.0,75.0
XB,10000.0,26.0
XB,10000.0,60.0
XB,10000.0,70.0
XB,10000.0,48.0
XB,10000.0,53.0
XB,10000.0,56.0
XB,10000.0,66.0
XB,10000.0,71.0
XB,10000.0,60.0
