Plataforma,Ventas_japonesas,Calificacion_critica
PS4,380000.0,97.0
PS4,60000.0,82.0
PS4,140000.0,83.0
PS4,80000.0,85.0
PS4,240000.0,87.0
PS4,50000.0,82.0
PS4,160000.0,76.0
PS4,190000.0,93.0
PS4,80000.0,86.0
PS4,150000.0,77.0
PS4,210000.0,88.0
PS4,110000.0,80.0
PS4,100000.0,85.0
PS4,230000.0,92.0
PS4,80000.0,70.0
PS4,100000.0,87.0
PS4,30000.0,87.0
PS4,50000.0,78.0
PS4,150000.0,80.0
PS4,170000.0,85.0
PS4,490000.0,93.0
PS4,70000.0,76.0
PS4,110000.0,87.0
PS4,50000.0,84.0
PS4,60000.0,83.0
PS4,70000.0,80.0
PS4,80000.0,73.0
PS4,260000.0,92.0
PS4,10000.0,83.0
PS4,60000.0,76.0
PS4,140000.0,73.0
PS4,150000.0,90.0
PS4,140000.0,73.0
PS4,120000.0,74.0
PS4,20000.0,71.0
PS4,80000.0,89.0
PS4,30000.0,80.0
PS4,40000.0,86.0
PS4,10000.0,79.0
PS4,20000.0,88.0
PS4,70000.0,73.0
PS4,30000.0,68.0
PS4,110000.0,75.0
PS4,60000.0,63.0
PS4,420000.0,54.0
PS4,30000.0,61.0
PS4,30000.0,71.0
PS4,50000.0,79.0
PS4,340000.0,89.0
PS4,10000.0,83.0
PS4,30000.0,79.0
PS4,10000.0,85.0
PS4,170000.0,75.0
PS4,110000.0,79.0
PS4,40000.0,79.0
PS4,120000.0,69.0
PS4,20000.0,83.0
PS4,10000.0,70.0
PS4,50000.0,76.0
PS4,80000.0,77.0
PS4,20000.0,70.0
PS4,30000.0,82.0
PS4,130000.0,87.0
PS4,50000.0,89.0
PS4,110000.0,82.0
PS4,90000.0,73.0
PS4,10000.0,78.0
PS4,10000.0,71.0
PS4,30000.0,65.0
PS4,10000.0,75.0
PS4,100000.0,75.0
PS4,20000.0,68.0
PS4,100000.0,74.0
PS4,110000.0,85.0
PS4,20000.0,76.0
PS4,10000.0,79.0
PS4,20000.0,72.0
PS4,30000.0,85.0
PS4,20000.0,84.0
PS4,30000.0,48.0
PS4,70000.0,66.0
PS4,20000.0,69.0
PS4,80000.0,77.0
PS4,20000.0,59.0
PS4,60000.0,76.0
PS4,40000.0,72.0
PS4,60000.0,80.0
PS4,20000.0,68.0
PS4,20000.0,59.0
PS4,40000.0,57.0
PS4,60000.0,76.0
PS4,30000.0,66.0
PS4,70000.0,87.0
PS4,30000.0,63.0
PS4,100000.0,69.0
PS4,40000.0,59.0
PS4,80000.0,67.0
PS4,30000.0,66.0
PS4,20000.0,74.0
PS4,30000.0,58.0
PS4,40000.0,79.0
PS4,20000.0,80.0
PS4,10000.0,63.0
PS4,40000.0,80.0
PS4,60000.0,86.0
PS4,60000.0,75.0
PS4,60000.0,73.0
PS4,10000.0,79.0
PS4,90000.0,69.0
PS4,20000.0,53.0
PS4,60000.0,71.0
PS4,40000.0,69.0
PS4,30000.0,85.0
PS4,80000.0,70.0
PS4,20000.0,64.0
PS4,50000.0,71.0
PS4,30000.0,78.0
PS4,10000.0,83.0
PS4,50000.0,43.0
PS4,50000.0,81.0
PS4,20000.0,78.0
PS4,40000.0,82.0
PS4,20000.0,70.0
PS4,10000.0,78.0
PS4,30000.0,69.0
PS4,30000.0,61.0
PS4,10000.0,82.0
PS4,20000.0,58.0
PS4,10000.0,72.0
PS4,10000.0,69.0
