,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,266821.3332083462,267363.1094366013,246163.09272617236,291783.0380214101,288722.27499456727,283901.9986146439,291209.3023255814,290054.93311698036,280399.03561757854,272906.90441487706
Error Cuadrado Promedio,192234882105.22278,187985002762.95126,227103959333.1191,213072103417.76675,210359859761.0094,209514534854.49683,204903348837.2093,288622683710.77936,206278804065.3618,190878938787.9758
Raíz del Error Cuadrado Promedio,438445.985390701,433572.3731546456,476554.2564421381,461597.3390497033,458650.04062030715,457727.577118199,452662.5109694962,537236.1526468406,454179.26423975127,436896.94298309734
R2,0.05998091223349955,0.08076261250917094,-0.11052715481483899,-0.04191207178323486,-0.02864933413591242,-0.024515737055173847,-0.001967264967160043,-0.41135068141285513,-0.008693173161718803,0.06661140814653521
