,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,231886.73809772945,177176.737356259,116518.20411287024,192391.30434782605,201256.51469303638,193433.76396908966,248173.91304347827,193206.69027066958,174902.74023236398,183334.71441517846
Error Cuadrado Promedio,71981865045.06538,56887849174.634445,26256649543.431522,95553356280.19324,109811675068.25467,95960324750.50739,126234956521.73914,62460476111.2857,84890493618.04898,63700612146.24989
Raíz del Error Cuadrado Promedio,268294.36267850536,238511.73802275318,162039.03709733504,309117.05918663443,331378.44689758366,309774.6354214744,355295.59034941474,249920.93972151613,291359.7323208013,252389.80198544054
R2,-1.863727107938721,-1.263226657043922,-0.04459476027880949,-2.801495508108885,-3.3687485794406715,-2.81768634506185,-4.022132543168281,-1.4849280926892283,-2.3772840927101186,-1.5342656748515577
