,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,221084.11443826143,214894.6699396078,167871.32950885769,229249.24012158054,222127.28712186153,228585.99815076462,213787.2340425532,227367.9964297988,219722.68015142105,219272.7736061552
Error Cuadrado Promedio,80805750591.23706,87981904214.14601,85488076444.72224,111282671274.18343,106251789080.40833,111221531899.8187,92346893617.02127,123332272748.64032,104691411810.60568,95778935299.4133
Raíz del Error Cuadrado Promedio,284263.52314575476,296617.4374748491,292383.4407840537,333590.57431855507,325962.86457265087,333498.92338629626,303886.31692957366,351186.94843151607,323560.5226392826,309481.72046085907
R2,-0.1278873493055921,-0.22805216218996383,-0.19324329311938726,-0.5532844656317768,-0.4830633694760158,-0.5524310817279594,-0.2889787211456565,-0.7214729047932806,-0.4612836103638558,-0.3368831879383851
