,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,385564.60032837593,352626.4943404184,409060.39843302796,381409.2881944445,371998.5259682322,380636.64990234375,374937.5,465619.1237530848,377305.53534719127,385396.9502452297
Error Cuadrado Promedio,407169857022.6887,355190004490.5013,613615432099.0076,400827357506.2693,382620129251.9073,400775720204.1581,431160500000.0,717526531270.6926,390284312060.5454,426306270689.98737
Raíz del Error Cuadrado Promedio,638098.6264071477,595978.1912876521,783336.0914058585,633109.2776971991,618562.9549624737,633068.4956654833,656628.1291568311,847069.3780740115,624727.3901955519,652921.3357595135
R2,0.18689883595040824,0.29070042605360835,-0.2253643375440102,0.19956454204538876,0.23592361488047198,0.19966765957663735,0.13899052595470296,-0.43287045381690903,0.22061856256456525,0.1486842187329358
