,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,516239.588831322,479178.0724757808,471578.1629246832,576666.6666666666,514953.54218880535,576829.0842927631,512210.5263157895,647579.0725727135,559294.9826116414,537725.1488180207
Error Cuadrado Promedio,605630485527.3894,576367231269.3224,772799317581.3511,912085964912.2808,737698182906.9082,912080953223.7999,593862315789.4736,1091072862703.5872,886553923716.8037,616793452799.6151
Raíz del Error Cuadrado Promedio,778222.6452162578,759188.5347325277,879090.0508943046,955031.9182688508,858893.5806646293,955029.2944322702,770624.6270328205,1044544.3325697513,941569.9250277717,785361.9883847289
R2,0.0984192720001239,0.14198244576384023,-0.15043906803349327,-0.3577901837751767,-0.09818524774264747,-0.35778272305142345,0.11593813092991656,-0.6242416611518509,-0.3197815352041,0.08180135662030619
