,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,47417.076167076164,66835.45015898104,23750.51201369284,33750.0,36575.41666666667,28750.001708984375,43000.0,48444.107685710944,33715.203995954005,25661.764705882353
Error Cuadrado Promedio,3884124386.5039926,8039252530.787904,1712625316.454495,2662500000.0,2767374061.805556,2512500051.269546,3016000000.0,3708305579.2287946,2658697967.8239765,1362153979.2387543
Raíz del Error Cuadrado Promedio,62322.74373376057,89661.87891622561,41383.877494194465,51599.418601375735,52605.836765567714,50124.84465082706,54918.12087098393,60895.85847353492,51562.56362734476,36907.37025634249
R2,-1.854006437844495,-4.907143076583535,-0.25841584676334883,-0.9563719862227325,-1.0334321464472511,-0.8461538838260729,-1.2161194029850746,-1.7248169583311466,-0.9535783001232434,-0.0008938538608527224
