,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,596261.340555587,573170.7670505483,424918.70102087,695170.7842938312,705400.0342514003,695038.6143493652,584937.5,454030.4055087017,680348.9325537804,689244.0153985964
Error Cuadrado Promedio,1454776274341.001,1424809734571.25,1638374837550.804,2177210028788.3833,2200412412846.7666,2176963964153.0986,1770881250000.0,1738837139848.9478,2126685811432.4631,1860463881589.9758
Raíz del Error Cuadrado Promedio,1206141.067347017,1193653.9425525516,1279990.170880544,1475537.2000693115,1483378.715246638,1475453.8163402807,1330744.6223825216,1318649.741155303,1458316.087627255,1363988.2263384738
R2,0.05090757740784846,0.07045767341120845,-0.06887166852477078,-0.42040640692380093,-0.43554358456705033,-0.4202458749678324,-0.15531852239401656,-0.13441302464189753,-0.3874445332008982,-0.21376200840455417
