,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,49838.69281855796,47319.879316824394,46408.920859073805,52521.36752136752,49531.49887149887,52647.59682992788,45384.61538461538,71042.80807654942,50101.96418221394,48449.76189697146
Error Cuadrado Promedio,7198299981.801926,6189623204.047309,6074446723.075157,7417397435.897436,7051488364.20533,7421558048.244197,6329538461.538462,10668785551.440983,7033775211.666863,6564919962.948628
Raíz del Error Cuadrado Promedio,84842.79569770156,78674.1584260506,77938.7369866561,86124.31384863067,83973.14073086304,86148.46515315404,79558.39654956893,103289.81339629278,83867.60525773263,81024.19368897557
R2,-0.2805097275292656,-0.10107563488058235,-0.08058682437806275,-0.31948509976374817,-0.25439332436157125,-0.3202252334892075,-0.12596524057916758,-0.89787640332878,-0.25124232145976677,-0.16783739136451348
