,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,215266.31449134625,206470.27490744772,181831.39477651077,206767.2941985919,199306.8197354583,206608.828974833,209496.18320610686,225473.84038849056,200500.82559411318,204038.70228996687
Error Cuadrado Promedio,111254400232.72078,106638589249.1754,132228120247.78635,119633915497.50496,108606376559.8055,119597195398.02974,125572885496.18321,171626977328.27933,112312311669.72133,112864965500.51993
Raíz del Error Cuadrado Promedio,333548.1977656614,326555.64495071187,363631.84713083965,345881.3604366459,329554.8157132672,345828.2744340459,354362.6468692534,414278.86420656234,335130.290588185,335953.81453485525
R2,0.07932754862335722,0.11752513905054562,-0.09423795692397818,0.009983874628988088,0.10124095106988151,0.010287747410001047,-0.03916335960082984,-0.4202784753561397,0.07057292935431891,0.06599950883252637
