,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,273280.9303397258,227539.26352434518,291761.96712017606,440588.23529411765,317329.65707495116,394700.52751608455,248941.17647058822,332608.7241782317,429181.6928292225,360263.1578947368
Error Cuadrado Promedio,156484943034.39215,107050550097.92517,235646410717.0034,625632352941.1765,261896626005.9646,559758436277.6654,93764235294.11765,333498840074.0934,605932312511.9994,236409911194.39468
Raíz del Error Cuadrado Promedio,395581.7779352231,327185.8036314002,485434.2496332571,790969.2490490237,511758.36681578995,748170.0583942566,306209.4631034737,577493.5844440988,778416.5417769585,486220.0234404119
R2,0.29793173490677216,0.5197186864936386,-0.05722546552720109,-1.8068938269611707,-0.1749968162327724,-1.511351102593864,0.5793276162917058,-0.49623949449221905,-1.7185097758302001,-0.060650903433020265
