,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,154871.97570540014,154049.21829690013,97726.72239034198,219625.0,202659.80503082776,220531.66366299716,176500.0,127959.31035335227,217023.99695133965,181259.05453538167
Error Cuadrado Promedio,36015059317.741875,35955715013.75892,32527077916.920544,183720455176.76767,154395942287.5756,183817948628.8253,83110090909.09091,44251546782.3335,176193115131.0063,71994062135.88698
Raíz del Error Cuadrado Promedio,189776.3402475184,189619.92251279642,180352.64876602325,428626.2418200356,392932.49075073394,428739.9545515035,288288.20806458755,210360.51621521922,419753.6362332151,268317.0925153427
R2,-0.29185728439414427,-0.28972860897780484,-0.16674367175981564,-5.590037967684133,-4.5381700461852335,-5.593535049977132,-1.9811522841134797,-0.5872994280563113,-5.3200328849648,-1.5824212250444152
