,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,918437.4378305975,753282.6335048178,858822.7721336695,976176.4705882353,819110.3384687209,815929.1213235294,838823.5294117647,1027840.4617086158,927069.9100245198,1141990.9502262445
Error Cuadrado Promedio,1463378596251.9556,1145029889083.4292,2092241943880.04,2976948529411.7646,1645795458119.587,1995351240823.0352,1152448470588.2354,3065553754431.4883,2870133250829.139,2069997037552.6934
Raíz del Error Cuadrado Promedio,1209701.86254794,1070060.694111988,1446458.414155084,1725383.5890641143,1282885.598219727,1412569.0216138237,1073521.5277712112,1750872.2838720956,1694146.7618919972,1438748.4274718403
R2,0.27164927008136874,0.43009733938395334,-0.04134770789624809,-0.48168262121686545,0.18085700700532759,0.006876596104538613,0.42640497346591577,-0.5257830887807691,-0.42851867149026845,-0.030276004509310672
