,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,303602.2553223276,244556.5628566858,158798.22911176088,214700.0,211598.1222222222,214703.20203125,274160.0,240099.24081350912,212943.96814631973,224947.78469532586
Error Cuadrado Promedio,132767822332.20238,111098688122.53815,90803003027.74977,116344638888.88889,121187687603.34773,116352177763.30327,170904160000.0,148024058028.4689,115633718027.65297,102070649292.79315
Raíz del Error Cuadrado Promedio,364373.1910173996,333314.69832957885,301335.36637399497,341093.29939019453,348120.2200438057,341104.35025561205,413405.56358133355,384738.9478964521,340049.5817195677,319484.97506579733
R2,-0.4688681832888404,-0.2291331236871923,-0.004593129205762159,-0.2871713594316325,-0.34075211448075016,-0.2872547652793038,-0.8907870793239445,-0.6376545565030529,-0.2793061326352413,-0.1292520021807484
