,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,346805.4156589196,304021.6683292127,331590.50768242095,316143.79974011896,314043.95413643593,315583.8429904514,314648.14814814815,408268.4599905105,310903.35861502687,318190.79494887823
Error Cuadrado Promedio,555926112560.1118,486681732119.23676,713852895978.5541,451220363350.5234,448284403520.4682,451149854052.2398,460494518518.5185,826796771750.681,446465207520.1208,506210247945.7366
Raíz del Error Cuadrado Promedio,745604.5282588564,697625.7822925102,844898.1571636632,671729.3825273117,669540.4420350336,671676.8970660223,678597.4642735695,909283.6585745292,668180.5201591265,711484.5380932298
R2,0.1582902669175199,0.2631309420747756,-0.08082156415938102,0.31682185273122676,0.3212670944802001,0.31692860857754734,0.30278015457268836,-0.251826230753772,0.3240214802614787,0.23356344835133092
