,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,87063.54563762716,83602.04788466413,54137.60292239628,97270.11494252874,93971.23948848087,107614.64123114225,79655.1724137931,70759.38571339914,93463.83236870142,91297.70350686651
Error Cuadrado Promedio,11920826969.000305,12430942959.39437,10741356799.038126,19570330459.770115,19545811335.444042,23915082651.258434,13890068965.51724,15305663270.01834,18299614969.213947,14739745968.797512
Raíz del Error Cuadrado Promedio,109182.53967095795,111494.13867730612,103640.51716890516,139893.9972256498,139806.33510483007,154645.0214240938,117856.13673253184,123716.05906275199,135276.06946246608,121407.35549709297
R2,-0.1574821023078552,-0.20701307281163128,-0.0429585364942231,-0.9002295144741805,-0.897848769610968,-1.322093946672402,-0.34869051192647826,-0.48614113308303786,-0.7768462591623673,-0.4311919966470441
