,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,238789.5421951667,225716.9751615085,217617.65668853678,241527.7777777778,234971.86396275682,241525.19056919642,186714.2857142857,263992.2043460828,232060.80505345677,250537.33768579966
Error Cuadrado Promedio,232653545637.37445,226790508526.29794,303281131686.7367,341169097222.2223,335478952717.9035,341165246906.3124,260069047619.0476,338992286690.4216,332015170462.97015,229255858954.5348
Raíz del Error Cuadrado Promedio,482341.73117964243,476225.27077665454,550709.6618788677,584096.821787469,579205.4494891285,584093.5258212612,509969.6536256325,582230.4412261709,576207.5758465609,478806.70312197466
R2,0.13614369263212844,0.15791349448431957,-0.1261006910318334,-0.2667809368948386,-0.24565309546683012,-0.26676664044526177,0.03434832028289991,-0.25869831127789755,-0.23279186809943408,0.14875950325040144
