,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,270431.74769578764,260439.71264945247,245627.83906165487,281312.2903876607,296631.05183170264,281275.64934463863,304815.16587677726,312188.74323575053,273133.02043446735,276293.930857705
Error Cuadrado Promedio,647783827838.6041,618814925539.4213,726893057007.5916,701045073931.5328,727596711498.9419,701013037707.9595,576293952606.6351,782448869305.6241,690752149185.021,629643880787.6
Raíz del Error Cuadrado Promedio,804850.1896866299,786647.9044270195,852580.2349383848,837284.3447309479,852992.7968622841,837265.2134825378,759140.2720226579,884561.3993983822,831115.0035855573,793501.027590765
R2,0.05456942460582637,0.09684909382918006,-0.06088928374411395,-0.023164548327493373,-0.06191625669719891,-0.023117791949848865,0.1589078025812919,-0.1419721409106347,-0.008142182304474721,0.08104439949872166
