,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,228768.74882594967,212689.9575340998,190510.37115915073,218551.98279087167,217717.41470828664,218043.63795572918,223911.11111111112,246517.23626403077,210587.25659098072,219874.77839211447
Error Cuadrado Promedio,114232420070.46606,110208650014.58781,136373355036.17882,107073398646.47856,107171946453.58145,107026990777.87679,117348148148.14815,183261431308.43802,104302241255.30426,117549090456.19043
Raíz del Error Cuadrado Promedio,337982.869492621,331976.8817471901,369287.6318483721,327220.7185470971,327371.2669944958,327149.79868231126,342561.15971917793,428090.44757905777,322958.5751382122,342854.32833229686
R2,0.0677577324223767,0.10059541999643784,-0.11293278788693839,0.12618197277216503,0.125377731462196,0.1265607039295027,0.04233050776494707,-0.49558288423821617,0.1487971817344651,0.04069063256326544
