,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,79269.69146784145,74504.6919210898,65102.23411039791,73637.17626199897,73657.36393848345,73383.25077451508,76482.75862068965,79302.48039353138,71568.95555018386,77545.64494297712
Error Cuadrado Promedio,21294469605.58465,20234301564.090244,25603815002.650246,18789058004.566704,18742875416.771305,18770526171.301937,19137674876.84729,30094352962.473976,18515374430.986572,21444776582.231293
Raíz del Error Cuadrado Promedio,145926.2471441812,142247.32533193813,160011.9214391548,137073.184848703,136904.62160486513,137005.5698550316,138338.98538317854,173477.24047399987,136071.2108823412,146440.35161877784
R2,0.1074472197998968,0.15188391864432182,-0.0731779982137366,0.2124609689776501,0.21439670148928813,0.21323772649305384,0.1978487732131171,-0.26139786068843396,0.223932352816672,0.10114713755439919
