,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,344371.65145676857,310907.9986882702,307914.4806881248,292304.7835435591,294031.8282426427,292289.24360148114,335130.2083333333,364323.346383669,287470.1473818009,299216.7959801061
Error Cuadrado Promedio,263983934006.69614,251398553492.02896,369546160571.76495,237090228038.62448,239750789266.25882,237081703140.5105,305359635416.6667,452292365145.50494,234439956016.96274,258778030638.1742
Raíz del Error Cuadrado Promedio,513793.66871020914,501396.6029921114,607903.0848513313,486919.1185798977,489643.5328545235,486910.3645852186,552593.5535424447,672526.8508732606,484189.9999142514,508702.3006023997
R2,0.17568585647644697,0.2149848660881558,-0.15394191692137182,0.2596639299325495,0.2513560824951606,0.25969054971194594,0.046486418644063665,-0.4123245605836827,0.2679396483767831,0.19194176914263483
