,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,441164.5520455724,452105.23272238864,333165.62540980295,749300.3968253969,675980.9976479132,745017.6755533854,556533.3333333334,383472.9777054177,716545.8642787656,552924.6494067014
Error Cuadrado Promedio,523754749664.43,525434550372.47186,610579657922.5564,1778276957624.7163,1419968833566.923,1776097685149.6748,827771733333.3334,690715407077.264,1607721053802.5818,705909370195.9974
Raíz del Error Cuadrado Promedio,723709.0227877707,724868.6435296204,781395.9674342813,1333520.5126374008,1191624.4515647215,1332703.149673503,909819.6158213634,831092.8991859237,1267959.4054237627,840184.1287455967
R2,0.036636846810988444,0.03354712188178233,-0.12306369518597848,-2.2708562514006987,-1.6118057235979193,-2.266847827983901,-0.5225538052984855,-0.27046059810343137,-1.9571459253246775,-0.2984074648934294
