,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,387533.773655284,366740.0727436026,195110.94863243002,378136.507936508,343214.5008571675,324896.9087890625,418488.8888888889,220607.48805656517,365342.1007123145,375582.0961994076
Error Cuadrado Promedio,342510248953.2395,342043063739.10364,346621760703.5357,533181035197.78284,378458039744.1159,394453562584.9352,408258488888.8889,369392847740.863,493880820953.73145,347012507491.9811
Raíz del Error Cuadrado Promedio,585243.7517421604,584844.4782496486,588745.9220270963,730192.464489865,615189.4340315964,628055.3817816827,638951.0848953063,607776.9720389734,702766.5479757353,589077.675261914
R2,-0.06788509631569228,-0.06642849719517119,-0.08070404738324877,-0.6623621712517505,-0.17996381556094398,-0.2298349668671933,-0.27287623380966464,-0.15170018413648512,-0.539831201152325,-0.08192232529782006
