,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,121697.75365774575,121824.11064885951,97064.35310683734,124807.33618233619,118326.20560476829,125666.7759564112,125000.0,120742.99434793917,119495.67274507863,116108.45308592515
Error Cuadrado Promedio,30042546153.775635,29999565536.7529,34568825556.56076,38468321415.8719,34750052536.15513,38572652370.709946,39926000000.0,45315609187.41631,34589016985.170654,31939558700.75682
Raíz del Error Cuadrado Promedio,173327.85740836823,173203.82656498355,185926.93607049185,196133.4275840605,186413.65973596228,196399.21682814814,199814.91435826305,212874.6325596742,185981.2275074306,178716.4197849678
R2,0.022951190856464132,0.024349013812726583,-0.12425323974358093,-0.25107330905788827,-0.1301471344784353,-0.2544663781626022,-0.2984801805476205,-0.4737619696263524,-0.12490990882805963,-0.038743774692431954
