,Lineal,Polinomial,SVM,Arboles de Decisión,Bosque Aleatorio,XGBOOST,K-Nearest Neighbors,Multi-Layer Perceptron,Gradient Boosting,LIGHTGBM
Error Promedio Absoluto,258963.07349183277,233344.37348611926,185713.25324149095,263928.5714285714,283741.1904761905,268928.51046316966,308857.14285714284,179651.52747106992,261809.86892063712,270552.995391705
Error Cuadrado Promedio,134959480387.21864,144272907146.1375,144356815659.54556,224823214285.7143,198548083959.9206,225273141931.05542,203734285714.2857,171723380580.66055,223062045037.7922,143915935781.1803
Raíz del Error Cuadrado Promedio,367368.31707050983,379832.7357484311,379943.1742504997,474155.26390172483,445587.34717215726,474629.47857360845,451369.34512025263,414395.19854923576,472294.44739250554,379362.53871617356
R2,0.03225121623588356,-0.034532216782383385,-0.03513389634994768,-0.6121312231100184,-0.42372115111600506,-0.6153575020665725,-0.46090964966195447,-0.23137027664886678,-0.5995024741492987,-0.0319724958699672
